bag,chest,foot,hand,head,neck,ring,waist,weapon
1,Hard Leather Armor,"""Death Root"" Ornate Greaves of Skill",Studded Leather Gloves,Divine Hood,Necklace of Enlightenment,Gold Ring,Hard Leather Belt,"""Grim Shout"" Grave Wand of Skill +1"
2,"""Ghoul Sun"" Silk Robe of Fury","""Pandemonium Shout"" Demonhide Boots of Brilliance +1",Gloves,Ancient Helm,Amulet,Titanium Ring,Plated Belt,Bone Wand
3,Ornate Chestplate,Ornate Greaves of Anger,Dragonskin Gloves,Great Helm,Necklace,Gold Ring of Titans,Ornate Belt of Detection,Katana
4,Plate Mail,Ornate Greaves,Leather Gloves of Perfection,Silk Hood,Amulet,Gold Ring,Heavy Belt,Scimitar
5,Plate Mail,Holy Greaves,Hard Leather Gloves,Dragon's Crown of Perfection,Pendant,Titanium Ring,Sash,Maul of Reflection
6,Dragonskin Armor,Dragonskin Boots,Heavy Gloves of Titans,Hood,Necklace of Detection,Silver Ring,Leather Belt,Long Sword
7,Ornate Chestplate,"""Tempest Peak"" Greaves of Enlightenment +1",Gauntlets,Cap,Necklace,Platinum Ring,Linen Sash,Katana
8,Shirt,"""Skull Bite"" Hard Leather Boots of Reflection +1",Wool Gloves of Skill,Full Helm of Anger,Amulet,Titanium Ring,War Belt of Perfection,Ghost Wand
9,"""Soul Glow"" Studded Leather Armor of Rage",Wool Shoes of the Twins,Silk Gloves,Linen Hood of Fury,Necklace,Gold Ring of Anger,Mesh Belt,Short Sword
10,Robe,Holy Greaves,Wool Gloves,Divine Hood,"""Havoc Sun"" Amulet of Reflection",Platinum Ring,Studded Leather Belt,Maul
11,Shirt,Studded Leather Boots,Ornate Gauntlets of Vitriol,Demon Crown,Necklace,Bronze Ring,Silk Sash,Warhammer
12,"""Dragon Root"" Chain Mail of Detection",Studded Leather Boots,Dragonskin Gloves,Leather Cap,Amulet,Platinum Ring,Studded Leather Belt,Bone Wand
13,Demon Husk,Hard Leather Boots,Wool Gloves,"""Plague Whisper"" Helm of Anger",Amulet,Gold Ring of Rage,Ornate Belt,Katana
14,"""Kraken Moon"" Hard Leather Armor of Skill +1",Heavy Boots of Protection,Studded Leather Gloves,Ancient Helm,Pendant,Bronze Ring,Ornate Belt,Long Sword
15,Linen Robe of Rage,Studded Leather Boots,Demon's Hands,Cap,Necklace,Gold Ring,Leather Belt,Ghost Wand
16,Ring Mail,Chain Boots of Giants,Demon's Hands,Leather Cap,Necklace,Gold Ring,"""Victory Grasp"" Silk Sash of Skill +1",Katana
17,Studded Leather Armor,Hard Leather Boots of Vitriol,Gloves,Dragon's Crown of Titans,Pendant,Gold Ring,Ornate Belt,Katana
18,Leather Armor,Dragonskin Boots,Ornate Gauntlets,Divine Hood,Pendant,Platinum Ring,Studded Leather Belt,Chronicle
19,Studded Leather Armor,Demonhide Boots,Divine Gloves,"""Ghoul Glow"" Ornate Helm of Giants",Pendant,Titanium Ring,"""Vengeance Sun"" Brightsilk Sash of Fury",Maul
20,"""Mind Shout"" Linen Robe of Protection +1","""Brimstone Grasp"" Hard Leather Boots of Rage +1",Demon's Hands,Ornate Helm,Necklace,Bronze Ring,Sash,Maul of Titans
21,Linen Robe,Wool Shoes of Brilliance,Linen Gloves,Leather Cap,Amulet,Bronze Ring,Silk Sash,Long Sword
22,Silk Robe,Silk Slippers,Dragonskin Gloves of Power,Leather Cap,Necklace,Gold Ring of Perfection,"""Eagle Peak"" Sash of Fury +1","""Pandemonium Moon"" Book of Giants +1"
23,Leather Armor of Perfection,Hard Leather Boots,"""Rage Moon"" Silk Gloves of Detection +1",Great Helm,Amulet,Gold Ring,Heavy Belt,Scimitar
